node,kind,ref,title,due,status
PT.inlet,last,PM-5103,Planned maintenance - filter element inspection,2026-08-09,done
PT.inlet,next,PM-1218,Planned maintenance - inspection,2026-11-03,scheduled
PT.amine,last,PM-3045,Planned maintenance - filter element inspection,2026-07-27,done
PT.amine,next,PM-6221,Planned maintenance - clean,2026-09-25,scheduled
PT.dehy,last,PM-5190,Planned maintenance - impeller inspection,2026-08-12,done
PT.dehy,next,PM-2991,Planned maintenance - lube,2026-10-06,scheduled
PT.dehy,wo,WO-8421,Replace drum encoder,2026-10-04,open
PT.hg,last,PM-6144,Planned maintenance - gasket inspection,2026-07-19,done
PT.hg,next,PM-4727,Planned maintenance - inspection,2026-10-14,scheduled
PT.scrub,last,PM-9585,Planned maintenance - brake pads inspection,2026-08-27,done
PT.scrub,next,PM-9417,Planned maintenance - clean,2026-09-19,due
PT.scrub,wo,WO-5863,Replace drum encoder,2026-09-22,open
LQ.t1,last,PM-2209,Planned maintenance - bearing inspection,2026-08-23,done
LQ.t1,next,PM-2988,Planned maintenance - lube,2026-09-19,due
LQ.t1,wo,WO-2984,Calibrate level transmitter,2026-09-23,open
LQ.t1.c3,last,PM-9412,Planned maintenance - filter element inspection,2026-06-24,done
LQ.t1.c3,next,PM-6528,Planned maintenance - inspection,2026-09-27,scheduled
LQ.t1.mr,last,PM-2678,Planned maintenance - bearing inspection,2026-07-04,done
LQ.t1.mr,next,PM-5329,Planned maintenance - calibration,2026-11-02,scheduled
LQ.t1.chillers,last,PM-5107,Planned maintenance - packing inspection,2026-07-22,done
LQ.t1.chillers,next,PM-7828,Planned maintenance - clean,2026-10-18,scheduled
LQ.t1.chillers,wo,WO-9422,Inspect DE bearing,2026-09-17,due
LQ.t1.mche,last,PM-3913,Planned maintenance - bearing inspection,2026-07-13,done
LQ.t1.mche,next,PM-2248,Planned maintenance - clean,2026-09-21,due
LQ.t1.mche,wo,WO-1159,Change lube oil,2026-09-29,due
LQ.t1.coolers,last,PM-8296,Planned maintenance - refractory inspection,2026-08-09,done
