node,kind,ref,title,due,status
WH.a,last,PM-5922,Planned maintenance - packing inspection,2026-06-06,done
WH.a,next,PM-1235,Planned maintenance - calibration,2026-10-10,scheduled
WH.a.casinghead,last,PM-8173,Planned maintenance - brake pads inspection,2026-07-31,done
WH.a.casinghead,next,PM-8020,Planned maintenance - lube,2026-11-30,scheduled
WH.a.tubinghead,last,PM-4051,Planned maintenance - seal inspection,2026-07-04,done
WH.a.tubinghead,next,PM-6966,Planned maintenance - inspection,2026-11-18,scheduled
WH.a.tree,last,PM-7591,Planned maintenance - catalyst inspection,2026-06-06,done
WH.a.tree,next,PM-2852,Planned maintenance - calibration,2026-10-09,scheduled
WH.a.tree,wo,WO-2104,Replace drum encoder,2026-10-04,open
WH.a.stuffing,last,PM-1610,Planned maintenance - packing inspection,2026-07-31,done
WH.a.stuffing,next,PM-9319,Planned maintenance - inspection,2026-09-24,scheduled
WH.a.cellar,last,PM-5080,Planned maintenance - seal inspection,2026-08-15,done
WH.a.cellar,next,PM-2337,Planned maintenance - inspection,2026-11-26,scheduled
WH.a.cellar,wo,WO-4387,PSV bench test,2026-09-24,done
WH.b,last,PM-6328,Planned maintenance - brake pads inspection,2026-07-07,done
WH.b,next,PM-7515,Planned maintenance - clean,2026-10-19,scheduled
WH.b.head,last,PM-7835,Planned maintenance - refractory inspection,2026-09-05,done
WH.b.head,next,PM-9816,Planned maintenance - lube,2026-10-11,scheduled
WH.b.tree,last,PM-9721,Planned maintenance - catalyst inspection,2026-08-15,done
WH.b.tree,next,PM-5223,Planned maintenance - calibration,2026-10-31,scheduled
WH.b.cellar,last,PM-5710,Planned maintenance - brake pads inspection,2026-08-21,done
WH.b.cellar,next,PM-8895,Planned maintenance - lube,2026-11-16,scheduled
WH.casing,last,PM-6338,Planned maintenance - coupling inspection,2026-07-29,done
WH.casing,next,PM-4046,Planned maintenance - calibration,2026-11-20,scheduled
WH.casing.surface,last,PM-3516,Planned maintenance - bearing inspection,2026-08-22,done
WH.casing.surface,next,PM-8624,Planned maintenance - lube,2026-10-19,scheduled
WH.casing.prod,last,PM-4112,Planned maintenance - coupling inspection,2026-08-27,done
WH.casing.prod,next,PM-6659,Planned maintenance - clean,2026-10-02,scheduled
WH.casing.tubing,last,PM-9727,Planned maintenance - bearing inspection,2026-06-06,done
WH.casing.tubing,next,PM-7736,Planned maintenance - lube,2026-11-12,scheduled
AL.pj,last,PM-4204,Planned maintenance - brake pads inspection,2026-08-30,done
AL.pj,next,PM-9424,Planned maintenance - clean,2026-10-27,scheduled
AL.pj.base,last,PM-4086,Planned maintenance - brake pads inspection,2026-06-22,done
AL.pj.base,next,PM-9602,Planned maintenance - clean,2026-11-06,scheduled
AL.pj.base,wo,WO-1108,PSV bench test,2026-10-05,done
AL.pj.beam,last,PM-9066,Planned maintenance - packing inspection,2026-06-10,done
AL.pj.beam,next,PM-1510,Planned maintenance - calibration,2026-09-29,scheduled
AL.pj.beam,wo,WO-5021,Thermographic survey,2026-09-19,done
AL.pj.horsehead,last,PM-3217,Planned maintenance - seal inspection,2026-07-10,done
AL.pj.horsehead,next,PM-9785,Planned maintenance - lube,2026-10-10,scheduled
AL.pj.horsehead,wo,WO-9060,Inspect DE bearing,2026-09-19,due
AL.pj.crank,last,PM-9488,Planned maintenance - seal inspection,2026-06-14,done
AL.pj.crank,next,PM-5770,Planned maintenance - clean,2026-10-02,scheduled
AL.pj.reducer,last,PM-9611,Planned maintenance - brake pads inspection,2026-06-25,done
AL.pj.reducer,next,PM-3016,Planned maintenance - clean,2026-11-09,scheduled
AL.pj.motor,last,PM-1935,Planned maintenance - refractory inspection,2026-07-11,done
AL.pj.motor,next,PM-8338,Planned maintenance - lube,2026-11-17,scheduled
AL.rods,last,PM-5693,Planned maintenance - coupling inspection,2026-06-14,done
AL.rods,next,PM-1709,Planned maintenance - clean,2026-10-30,scheduled
AL.esp,last,PM-6932,Planned maintenance - filter element inspection,2026-08-29,done
AL.esp,next,PM-5108,Planned maintenance - lube,2026-09-27,scheduled
AL.esp.vsd,last,PM-1370,Planned maintenance - packing inspection,2026-08-08,done
AL.esp.vsd,next,PM-9078,Planned maintenance - calibration,2026-10-17,scheduled
AL.esp.jbox,last,PM-6420,Planned maintenance - brake pads inspection,2026-05-29,done
AL.esp.jbox,next,PM-2350,Planned maintenance - inspection,2026-10-27,scheduled
AL.esp.cable,last,PM-6167,Planned maintenance - filter element inspection,2026-07-21,done
AL.esp.cable,next,PM-1598,Planned maintenance - inspection,2026-10-17,scheduled
AL.esp.pump,last,PM-2446,Planned maintenance - refractory inspection,2026-07-19,done
AL.esp.pump,next,PM-1236,Planned maintenance - calibration,2026-10-09,scheduled
FL.line_a,last,PM-2214,Planned maintenance - gasket inspection,2026-09-03,done
FL.line_a,next,PM-9231,Planned maintenance - clean,2026-12-03,scheduled
FL.line_b,last,PM-4007,Planned maintenance - coupling inspection,2026-08-22,done
FL.line_b,next,PM-5591,Planned maintenance - calibration,2026-10-29,scheduled
FL.manifold,last,PM-4788,Planned maintenance - gasket inspection,2026-08-13,done
FL.manifold,next,PM-4193,Planned maintenance - inspection,2026-09-19,scheduled
FL.esd,last,PM-4333,Planned maintenance - refractory inspection,2026-06-22,done
FL.esd,next,PM-7798,Planned maintenance - clean,2026-09-23,scheduled
FL.pig,last,PM-8680,Planned maintenance - filter element inspection,2026-08-11,done
FL.pig,next,PM-4159,Planned maintenance - inspection,2026-10-16,scheduled
FL.chem,last,PM-5222,Planned maintenance - impeller inspection,2026-07-08,done
FL.chem,next,PM-8090,Planned maintenance - calibration,2026-10-29,scheduled
FL.rack,last,PM-9323,Planned maintenance - filter element inspection,2026-06-23,done
FL.rack,next,PM-9360,Planned maintenance - inspection,2026-10-06,scheduled
SP.hp,last,PM-7514,Planned maintenance - seal inspection,2026-08-22,done
SP.hp,next,PM-2440,Planned maintenance - clean,2026-12-01,scheduled
