node,kind,ref,title,due,status
HS.crown,last,PM-9925,Planned maintenance - impeller inspection,2026-07-15,done
HS.crown,next,PM-7094,Planned maintenance - lube,2026-11-01,scheduled
HS.crown.sheaves,last,PM-2890,Planned maintenance - seal inspection,2026-07-08,done
HS.crown.sheaves,next,PM-8413,Planned maintenance - calibration,2026-11-27,scheduled
HS.crown.frame,last,PM-5537,Planned maintenance - filter element inspection,2026-08-26,done
HS.crown.frame,next,PM-9558,Planned maintenance - inspection,2026-10-11,scheduled
HS.crown.fastline,last,PM-7044,Planned maintenance - catalyst inspection,2026-05-26,done
HS.crown.fastline,next,PM-2075,Planned maintenance - clean,2026-11-08,scheduled
HS.crown.bumper,last,PM-8193,Planned maintenance - coupling inspection,2026-08-12,done
HS.crown.bumper,next,PM-5293,Planned maintenance - clean,2026-11-28,scheduled
HS.crown.bumper,wo,WO-1958,Change lube oil,2026-09-29,due
HS.crown.platform,last,PM-3203,Planned maintenance - filter element inspection,2026-06-29,done
HS.crown.platform,next,PM-8783,Planned maintenance - inspection,2026-10-17,scheduled
HS.anchor,last,PM-8749,Planned maintenance - refractory inspection,2026-07-09,done
HS.anchor,next,PM-3262,Planned maintenance - clean,2026-09-21,due
HS.anchor,wo,WO-9524,Inspect DE bearing,2026-09-24,due
HS.anchor.drum,last,PM-1004,Planned maintenance - seal inspection,2026-06-27,done
HS.anchor.drum,next,PM-3447,Planned maintenance - lube,2026-11-12,scheduled
HS.anchor.sensor,last,PM-2192,Planned maintenance - brake pads inspection,2026-06-18,done
HS.anchor.sensor,next,PM-5985,Planned maintenance - clean,2026-09-20,due
HS.anchor.sensor,wo,WO-6962,Replace drum encoder,2026-09-25,open
HS.anchor.reel,last,PM-7283,Planned maintenance - refractory inspection,2026-08-02,done
HS.anchor.reel,next,PM-7539,Planned maintenance - clean,2026-09-22,scheduled
HS.dw,last,PM-6204,Planned maintenance - brake pads inspection,2026-08-06,done
HS.dw,next,PM-5300,Planned maintenance - clean,2026-10-12,scheduled
HS.dw.drum,last,PM-6361,Planned maintenance - brake pads inspection,2026-06-11,done
HS.dw.drum,next,PM-7375,Planned maintenance - lube,2026-10-03,scheduled
HS.dw.drum,wo,WO-1545,Thermographic survey,2026-10-02,done
HS.dw.motors,last,PM-8991,Planned maintenance - gasket inspection,2026-08-08,done
HS.dw.motors,next,PM-7285,Planned maintenance - lube,2026-09-24,due
HS.dw.motors,wo,WO-5886,Thermographic survey,2026-09-24,done
HS.dw.gearbox,last,PM-2496,Planned maintenance - impeller inspection,2026-08-30,done
HS.dw.gearbox,next,PM-4217,Planned maintenance - calibration,2026-09-26,scheduled
HS.dw.brake,last,PM-6105,Planned maintenance - refractory inspection,2026-08-08,done
HS.dw.brake,next,PM-4247,Planned maintenance - calibration,2026-10-27,scheduled
HS.dw.skid,last,PM-9885,Planned maintenance - packing inspection,2026-08-11,done
HS.dw.skid,next,PM-7271,Planned maintenance - clean,2026-09-23,due
HS.dw.skid,wo,WO-7472,Thermographic survey,2026-09-28,done
HS.dw.encoder,last,PM-5906,Planned maintenance - gasket inspection,2026-05-23,done
HS.dw.encoder,next,PM-4168,Planned maintenance - inspection,2026-11-19,scheduled
HS.line,last,PM-6105,Planned maintenance - brake pads inspection,2026-08-30,done
HS.line,next,PM-2828,Planned maintenance - inspection,2026-11-10,scheduled
HS.line.fast,last,PM-1241,Planned maintenance - coupling inspection,2026-08-25,done
HS.line.fast,next,PM-2300,Planned maintenance - calibration,2026-12-03,scheduled
HS.line.reeved,last,PM-2371,Planned maintenance - bearing inspection,2026-07-06,done
HS.line.reeved,next,PM-5562,Planned maintenance - calibration,2026-10-26,scheduled
HS.line.dead,last,PM-1922,Planned maintenance - packing inspection,2026-06-29,done
