node,score,trend,rul_component,rul_days,rul_p10,rul_p90
HS.crown,88,improving,impeller,390,253,585
HS.crown.sheaves,84,improving,seal,361,234,541
HS.crown.frame,96,improving,filter element,277,180,415
HS.crown.fastline,84,stable,catalyst,135,87,202
HS.crown.bumper,91,improving,coupling,347,225,520
HS.crown.platform,85,stable,filter element,397,258,595
HS.anchor,61,declining,refractory,40,26,60
HS.anchor.drum,90,stable,seal,354,230,531
HS.anchor.sensor,73,declining,brake pads,44,28,66
HS.anchor.reel,85,stable,refractory,277,180,415
HS.dw,92,stable,brake pads,109,70,163
HS.dw.drum,87,improving,brake pads,120,78,180
HS.dw.motors,55,declining,gasket,22,14,33
HS.dw.gearbox,85,improving,impeller,135,87,202
HS.dw.brake,94,improving,refractory,354,230,531
HS.dw.skid,77,declining,packing,32,20,48
HS.dw.encoder,88,improving,gasket,115,74,172
HS.line,87,improving,brake pads,145,94,217
HS.line.fast,95,improving,coupling,228,148,342
HS.line.reeved,90,improving,bearing,143,92,214
HS.line.dead,76,improving,packing,183,118,274
HS.elev,78,improving,impeller,364,236,546
HS.elev.links,95,stable,refractory,327,212,490
HS.elev.elevator,86,improving,seal,101,65,151
HS.hook,86,improving,bearing,399,259,598
HS.hook.body,81,stable,brake pads,348,226,522
HS.hook.latch,91,improving,gasket,120,78,180
HS.mast,79,stable,filter element,172,111,258
HS.mast.legs,90,stable,filter element,399,259,598
HS.mast.girts,82,improving,seal,283,183,424
HS.mast.braces,86,stable,catalyst,190,123,285
HS.mast.racking,83,improving,seal,218,141,327
HS.mast.ladder,82,stable,refractory,261,169,391
HS.mast.raising,78,stable,gasket,245,159,367
HS.tb,92,stable,bearing,394,256,591
HS.tb.sheaves,87,stable,brake pads,175,113,262
HS.tb.shell,88,improving,impeller,373,242,559
HS.tb.becket,93,improving,gasket,208,135,312
RS.rt,80,stable,seal,97,63,145
RS.rt.table,89,improving,coupling,291,189,436
RS.rt.slips,97,stable,seal,283,183,424
RS.rt.drive,61,declining,catalyst,24,15,36
RS.rt.lock,84,stable,coupling,217,141,325
RS.td,89,stable,seal,122,79,183
RS.td.motor,90,improving,filter element,320,208,480
RS.td.gearbox,81,improving,bearing,290,188,435
RS.td.quill,91,improving,coupling,152,98,228
RS.td.swivel,85,stable,seal,144,93,216
RS.td.handler,86,stable,seal,314,204,471
RS.td.dolly,86,stable,brake pads,196,127,294
RS.td.ibop,97,improving,catalyst,111,72,166
CS.pumps,81,improving,packing,306,198,459
CS.pumps.p1,99,stable,bearing,229,148,343
CS.pumps.p2,97,improving,bearing,353,229,529
CS.pumps.charge,98,improving,bearing,389,252,583
CS.pumps.dampener,89,stable,packing,243,157,364
CS.pumps.relief,86,stable,catalyst,320,208,480
CS.tanks,44,declining,gasket,48,31,72
CS.tanks.t1,93,improving,catalyst,129,83,193
CS.tanks.t2,88,improving,coupling,169,109,253
CS.tanks.t3,87,stable,packing,241,156,361
CS.tanks.trip,97,improving,refractory,298,193,447
CS.tanks.agit,93,stable,impeller,149,96,223
CS.solids,80,improving,brake pads,267,173,400
CS.solids.shakers,89,stable,catalyst,264,171,396
