ts,node,severity,title,detail,status
2026-09-15T06:30,PT.inlet,lo,Level oscillation,Interface level cycling +/-6%; controller tuning,cleared
2026-09-13T23:30,PT.amine,lo,Level oscillation,Interface level cycling +/-6%; controller tuning,cleared
2026-09-14T01:30,PT.hg,lo,Level oscillation,Interface level cycling +/-6%; controller tuning,cleared
2026-09-16T14:02,PT.scrub,md,Temperature excursion,Outlet exceeded the warning band for 11 min; cooling duty short,open
2026-09-16T13:39,LQ.t1,hi,Vibration 2.1x baseline,Drive-end bearing envelope energy rising; pattern matches 3 prior failures in fleet history,investigating
2026-09-13T23:30,LQ.t1.chillers,lo,Sensor dropout,Tag lost 4 samples; instrument comms flagged,cleared
2026-09-16T13:37,LQ.t1.mche,hi,Vibration 2.1x baseline,Drive-end bearing envelope energy rising; pattern matches 3 prior failures in fleet history,investigating
2026-09-14T09:30,LQ.t2.chillers,lo,Level oscillation,Interface level cycling +/-6%; controller tuning,cleared
2026-09-15T05:30,LQ.t2.mche,lo,Level oscillation,Interface level cycling +/-6%; controller tuning,cleared
2026-09-16T13:28,LQ.t2.flash,md,Pressure drift,Differential pressure trending up 8% per day; fouling suspected,open
2026-09-13T19:30,LQ.t2.flash,lo,Sensor dropout,Tag lost 4 samples; instrument comms flagged,cleared
2026-09-16T02:30,SG.t1,lo,Level oscillation,Interface level cycling +/-6%; controller tuning,cleared
2026-09-16T07:30,JT.trestle,lo,Level oscillation,Interface level cycling +/-6%; controller tuning,cleared
2026-09-16T13:24,BG.comp,hi,Vibration 2.1x baseline,Drive-end bearing envelope energy rising; pattern matches 3 prior failures in fleet history,open
2026-09-16T06:30,RF.ethylene,lo,Sensor dropout,Tag lost 4 samples; instrument comms flagged,cleared
2026-09-14T23:30,RF.makeup,lo,Level oscillation,Interface level cycling +/-6%; controller tuning,cleared
2026-09-13T16:30,UT.rack,lo,Sensor dropout,Tag lost 4 samples; instrument comms flagged,cleared
