node,kind,ref,title,due,status
IN.slug,last,PM-7488,Planned maintenance - bearing inspection,2026-08-21,done
IN.slug,next,PM-3737,Planned maintenance - calibration,2026-09-23,due
IN.slug,wo,WO-7310,Replace drum encoder,2026-10-04,open
IN.sep,last,PM-6228,Planned maintenance - impeller inspection,2026-06-27,done
IN.sep,next,PM-3279,Planned maintenance - lube,2026-11-24,scheduled
IN.filter,last,PM-7191,Planned maintenance - catalyst inspection,2026-06-17,done
IN.filter,next,PM-6612,Planned maintenance - lube,2026-09-18,due
IN.filter,wo,WO-6268,Thermographic survey,2026-09-28,done
IN.meter,last,PM-5140,Planned maintenance - packing inspection,2026-08-05,done
IN.meter,next,PM-9874,Planned maintenance - lube,2026-10-10,scheduled
IN.esd,last,PM-8875,Planned maintenance - refractory inspection,2026-09-01,done
IN.esd,next,PM-3168,Planned maintenance - inspection,2026-11-19,scheduled
IN.pig,last,PM-8567,Planned maintenance - filter element inspection,2026-07-26,done
IN.pig,next,PM-7355,Planned maintenance - calibration,2026-11-14,scheduled
IN.pig,wo,WO-4740,Replace drum encoder,2026-10-01,open
CP.k1,last,PM-4382,Planned maintenance - refractory inspection,2026-07-12,done
CP.k1,next,PM-4315,Planned maintenance - inspection,2026-10-01,scheduled
CP.k1,wo,WO-2260,Replace drum encoder,2026-09-27,open
CP.k2,last,PM-9549,Planned maintenance - brake pads inspection,2026-08-23,done
CP.k2,next,PM-3566,Planned maintenance - clean,2026-10-28,scheduled
CP.k2,wo,WO-5818,PSV bench test,2026-09-22,done
CP.cooler,last,PM-2406,Planned maintenance - coupling inspection,2026-08-20,done
CP.cooler,next,PM-9054,Planned maintenance - calibration,2026-10-12,scheduled
CP.scrub,last,PM-4594,Planned maintenance - brake pads inspection,2026-08-25,done
CP.scrub,next,PM-8704,Planned maintenance - inspection,2026-10-27,scheduled
CP.scrub,wo,WO-1751,Change lube oil,2026-09-30,due
SW.absorber,last,PM-9822,Planned maintenance - coupling inspection,2026-08-09,done
SW.absorber,next,PM-6254,Planned maintenance - inspection,2026-11-09,scheduled
SW.absorber,wo,WO-2178,Calibrate level transmitter,2026-10-04,open
SW.regen,last,PM-1688,Planned maintenance - refractory inspection,2026-08-17,done
SW.regen,next,PM-6325,Planned maintenance - lube,2026-10-29,scheduled
SW.reboiler,last,PM-8774,Planned maintenance - bearing inspection,2026-07-31,done
SW.reboiler,next,PM-3768,Planned maintenance - clean,2026-12-03,scheduled
SW.flash,last,PM-6980,Planned maintenance - brake pads inspection,2026-05-30,done
SW.flash,next,PM-9644,Planned maintenance - inspection,2026-10-01,scheduled
SW.exch,last,PM-4721,Planned maintenance - bearing inspection,2026-07-29,done
SW.exch,next,PM-1762,Planned maintenance - clean,2026-11-21,scheduled
SW.cooler,last,PM-4773,Planned maintenance - filter element inspection,2026-08-16,done
SW.cooler,next,PM-6714,Planned maintenance - clean,2026-11-15,scheduled
SW.cooler,wo,WO-8461,Inspect DE bearing,2026-09-17,due
SW.pumps,last,PM-9317,Planned maintenance - filter element inspection,2026-08-03,done
SW.pumps,next,PM-9191,Planned maintenance - lube,2026-11-28,scheduled
SW.pumps,wo,WO-2100,Change lube oil,2026-09-24,due
SW.acidgas,last,PM-4383,Planned maintenance - coupling inspection,2026-06-06,done
SW.acidgas,next,PM-7028,Planned maintenance - lube,2026-11-13,scheduled
SW.acidgas,wo,WO-6576,Change lube oil,2026-10-04,due
DH.contactor,last,PM-8117,Planned maintenance - bearing inspection,2026-05-23,done
DH.contactor,next,PM-7444,Planned maintenance - clean,2026-10-24,scheduled
DH.regen,last,PM-6680,Planned maintenance - filter element inspection,2026-08-01,done
DH.regen,next,PM-7290,Planned maintenance - inspection,2026-12-01,scheduled
DH.flash,last,PM-3536,Planned maintenance - filter element inspection,2026-07-31,done
DH.flash,next,PM-5553,Planned maintenance - calibration,2026-10-04,scheduled
DH.filters,last,PM-1445,Planned maintenance - catalyst inspection,2026-08-15,done
DH.filters,next,PM-3458,Planned maintenance - lube,2026-12-02,scheduled
DH.pumps,last,PM-4483,Planned maintenance - seal inspection,2026-05-22,done
DH.pumps,next,PM-9890,Planned maintenance - calibration,2026-11-13,scheduled
DH.sieve,last,PM-6822,Planned maintenance - coupling inspection,2026-07-30,done
DH.sieve,next,PM-8838,Planned maintenance - inspection,2026-09-25,scheduled
NG.coldbox,last,PM-7290,Planned maintenance - refractory inspection,2026-05-23,done
NG.coldbox,next,PM-7057,Planned maintenance - inspection,2026-10-28,scheduled
NG.expander,last,PM-4092,Planned maintenance - catalyst inspection,2026-09-03,done
NG.expander,next,PM-8164,Planned maintenance - clean,2026-09-22,due
NG.expander,wo,WO-5895,Change lube oil,2026-09-25,due
NG.demeth,last,PM-5993,Planned maintenance - packing inspection,2026-07-25,done
NG.demeth,next,PM-1919,Planned maintenance - clean,2026-11-24,scheduled
NG.reboilers,last,PM-1414,Planned maintenance - coupling inspection,2026-06-03,done
